time,date,year,month,month,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,country,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-08-06T04:21:50.710Z,2017-08-06,2017,08,2017-08,-19.1146,128.0923,4.57,4.9,mb,,39,2.535,0.96,us,us2000a5b3,2017-10-25T00:37:59.040Z,99km SSE of Halls Creek, Australia,earthquake,3.9,3.4,0.09,39,reviewed,us,us
2017-06-09T17:16:14.240Z,2017-06-09,2017,06,2017-06,-22.2934,121.1969,10,4.5,mb,,81,1.444,1.05,us,us20009msa,2017-08-16T02:42:21.040Z,191km NE of Newman, Australia,earthquake,6.8,2,0.204,7,reviewed,us,us
2017-05-28T16:50:23.860Z,2017-05-28,2017,05,2017-05,-19.8692,133.9267,6.49,4.3,mb,,64,0.394,1.04,us,us20009j83,2017-08-15T02:26:44.040Z,37km SW of Tennant Creek, Australia,earthquake,5.9,5.4,0.147,13,reviewed,us,us
2017-04-24T07:37:25.290Z,2017-04-24,2017,04,2017-04,-32.2936,138.3526,23.93,4,mb,,121,2.004,1.09,us,us10008n8q,2017-07-21T02:32:04.040Z,30km ENE of Quorn, Australia,earthquake,6.8,10.8,0.232,5,reviewed,us,us
2017-04-19T08:55:50.170Z,2017-04-19,2017,04,2017-04,-32.3091,153.1619,10,3.9,mb,,119,2.296,0.9,us,us10008k3m,2017-07-11T01:48:37.040Z,62km ESE of Forster, Australia,earthquake,5.1,2,0.295,3,reviewed,us,us
2017-04-13T17:01:21.500Z,2017-04-13,2017,04,2017-04,-25.6073,129.9183,10.8,4.5,mb,,119,4.109,0.77,us,us10008hbr,2017-07-05T18:09:58.040Z,Northern Territory, Australia,earthquake,5.1,4.2,0.121,20,reviewed,us,us
2017-04-13T16:31:06.360Z,2017-04-13,2017,04,2017-04,-33.5328,148.9562,14.53,4.2,mb,,56,0.894,1.25,us,us10008hbg,2017-07-05T18:09:58.040Z,23km WSW of Millthorpe, Australia,earthquake,5.5,5.7,0.14,14,reviewed,us,us
2017-04-04T03:55:54.340Z,2017-04-04,2017,04,2017-04,-25.9262,128.8547,13.86,4.4,mb,,45,4.885,0.97,us,us10008ghv,2017-06-23T07:26:29.040Z,228km E of Warburton, Australia,earthquake,8.4,6.3,0.267,4,reviewed,us,us
2017-03-26T20:00:04.110Z,2017-03-26,2017,03,2017-03,-31.5062,122.8771,14.98,4.1,mb,,72,4.501,0.68,us,us10008dkr,2017-06-16T23:07:57.040Z,127km SE of Stoneville, Australia,earthquake,4.9,6.6,0.165,10,reviewed,us,us
2017-02-01T13:37:54.820Z,2017-02-01,2017,02,2017-02,-35.0581,139.1956,10,3.9,mb,,111,3.439,1.22,us,us10007wmj,2017-04-27T01:38:41.040Z,9km NW of Murray Bridge, Australia,earthquake,6.6,2,0.209,6,reviewed,us,us
2017-01-03T15:30:19.000Z,2017-01-03,2017,01,2017-01,-30.609,118.455,10,4.5,mb,,,,0.74,us,us10007pgt,2017-03-27T23:53:20.040Z,98km N of Merredin, Australia,earthquake,5.7,5.5,0.145,14,reviewed,aust,us
